CardID,Auth,Cur.BB,CU,Avg.BB,OD,CCAge,Loc,LocCode,ODCode,AmtT
11111,120,10000,3,12000,2,5,1,4,1,15000
11111,119,10000,3,12000,2,5,1,4,1,15000
11111,118,10000,3,12000,2,5,1,4,1,15000
11111,117,10000,3,12000,2,5,1,4,1,15000
11111,116,10000,3,12000,2,5,1,4,1,15000
11111,115,10000,3,12000,2,5,1,4,1,15000
11111,114,10000,3,12000,2,5,1,4,1,15000
11111,113,10000,3,12000,2,5,1,4,1,15000
11111,112,10000,3,12000,2,5,1,4,1,15000
11111,111,10000,3,12000,2,5,1,4,1,15000
11117,113,4000,3,5000,1,4,1,3,3,10000
11117,111,10000,3,12000,2,5,1,4,1,15000
11117,112,10000,3,12000,2,5,1,4,1,15000
11136,111,10000,3,12000,2,5,1,4,1,15000
